||Columns|
Rows||City|
|||
|||
||Population Of Sre-1, Sre-2, Provinces And Districts|
Balıkesir(Bigadiç)|2015|49539.0|
Balıkesir(Burhaniye)|2015|57090.0|
Balıkesir(Dursunbey)|2015|38522.0|
Balıkesir(Edremit)|2015|140857.0|
Balıkesir(Erdek)|2015|32899.0|
Balıkesir(Gömeç)|2015|12768.0|
Balıkesir(Gönen)|2015|72701.0|
Balıkesir(Havran)|2015|27564.0|
Balıkesir(İvrindi)|2015|33710.0|
Balıkesir(Karesi)|2015|173386.0|
Balıkesir(Kepsut)|2015|23508.0|
Balıkesir(Manyas)|2015|20154.0|
Balıkesir(Marmara)|2015|8848.0|
Balıkesir(Savaştepe)|2015|18677.0|
Balıkesir(Sındırgı)|2015|34868.0|
Balıkesir(Susurluk)|2015|39673.0|
Bartın(Amasra)|2015|6666.0|
Bartın(Kurucaşile)|2015|1796.0|
Bartın(Merkez)|2015|66091.0|
Bartın(Ulus)|2015|3274.0|
Batman(Beşiri)|2015|8636.0|
Batman(Gercüş)|2015|4695.0|
Batman(Hasankeyf)|2015|3118.0|
Batman(Kozluk)|2015|23669.0|
Batman(Merkez)|2015|392738.0|
Batman(Sason)|2015|11353.0|
Bayburt(Aydıntepe)|2015|4871.0|
Bayburt(Demirözü)|2015|3459.0|
Bayburt(Merkez)|2015|37946.0|
Bilecik(Bozüyük)|2015|64034.0|
Bilecik(Gölpazarı)|2015|7039.0|
Bilecik(İnhisar)|2015|932.0|
Bilecik(Merkez)|2015|59163.0|
Bilecik(Osmaneli)|2015|14894.0|
Bilecik(Pazaryeri)|2015|6617.0|
Bilecik(Söğüt)|2015|14034.0|
Bilecik(Yenipazar)|2015|979.0|
Bingöl(Adaklı)|2015|3145.0|
Bingöl(Genç)|2015|19659.0|
Bingöl(Karlıova)|2015|6490.0|
Bingöl(Kiğı)|2015|3117.0|
Bingöl(Merkez)|2015|108267.0|
Bingöl(Solhan)|2015|17550.0|
Bingöl(Yayladere)|2015|1018.0|
Bingöl(Yedisu)|2015|1368.0|
Bitlis(Adilcevaz)|2015|14734.0|
Bitlis(Ahlat)|2015|22998.0|
Bitlis(Güroymak)|2015|23235.0|
Bitlis(Hizan)|2015|11655.0|
Bitlis(Merkez)|2015|48948.0|
Bitlis(Mutki)|2015|2313.0|
Bitlis(Tatvan)|2015|71045.0|
Bolu(Dörtdivan)|2015|2763.0|
Bolu(Gerede)|2015|24173.0|
Bolu(Göynük)|2015|4111.0|
Bolu(Kıbrıscık)|2015|1431.0|
Bolu(Mengen)|2015|5179.0|
Bolu(Merkez)|2015|153783.0|
Bolu(Mudurnu)|2015|5117.0|
Bolu(Seben)|2015|2482.0|
Bolu(Yeniçağa)|2015|4657.0|
Burdur(Ağlasun)|2015|3847.0|
Burdur(Altınyayla)|2015|2980.0|
Burdur(Bucak)|2015|43826.0|
Burdur(Çavdır)|2015|4784.0|
Burdur(Çeltikçi)|2015|2056.0|
Burdur(Gölhisar)|2015|16939.0|
Burdur(Karamanlı)|2015|5573.0|
Burdur(Kemer)|2015|1678.0|
Burdur(Merkez)|2015|78331.0|
Burdur(Tefenni)|2015|5629.0|
Burdur(Yeşilova)|2015|5594.0|
Bursa(Büyükorhan)|2015|10774.0|
Bursa(Gemlik)|2015|105484.0|
Bursa(Gürsu)|2015|79540.0|
Bursa(Harmancık)|2015|6574.0|
Bursa(İnegöl)|2015|249091.0|
Bursa(İznik)|2015|42467.0|
Bursa(Karacabey)|2015|80573.0|
Bursa(Keles)|2015|12773.0|
Bursa(Kestel)|2015|54959.0|
Bursa(Mudanya)|2015|83174.0|
Bursa(Mustafakemalpaşa)|2015|99781.0|
Bursa(Nilüfer)|2015|397303.0|
Bursa(Orhaneli)|2015|20371.0|
Bursa(Orhangazi)|2015|76669.0|
Bursa(Osmangazi)|2015|826742.0|
Bursa(Yenişehir)|2015|52591.0|
Bursa(Yıldırım)|2015|643681.0|
Çanakkale(Ayvacık)|2015|8271.0|
Çanakkale(Bayramiç)|2015|14459.0|
Çanakkale(Biga)|2015|49572.0|
Çanakkale(Bozcaada)|2015|2643.0|
Çanakkale(Çan)|2015|29648.0|
Çanakkale(Eceabat)|2015|5694.0|
Çanakkale(Ezine)|2015|14056.0|
Çanakkale(Gelibolu)|2015|29151.0|
Çanakkale(Gökçeada)|2015|6517.0|
Çanakkale(Lapseki)|2015|11625.0|
Çanakkale(Merkez)|2015|122613.0|
Çanakkale(Yenice)|2015|7937.0|
Çankırı(Atkaracalar)|2015|1975.0|
Çankırı(Bayramören)|2015|571.0|
Çankırı(Çerkeş)|2015|9357.0|
Çankırı(Eldivan)|2015|2996.0|
Çankırı(Ilgaz)|2015|7910.0|
Çankırı(Kızılırmak)|2015|2255.0|
Çankırı(Korgun)|2015|2071.0|
Çankırı(Kurşunlu)|2015|5345.0|
Çankırı(Merkez)|2015|79091.0|
Çankırı(Orta)|2015|4061.0|
Çankırı(Şabanözü)|2015|8316.0|
Çankırı(Yapraklı)|2015|2110.0|
Çorum(Alaca)|2015|20407.0|
Çorum(Bayat)|2015|6252.0|
Çorum(Boğazkale)|2015|1216.0|
Çorum(Dodurga)|2015|2635.0|
Çorum(İskilip)|2015|19209.0|
Çorum(Kargı)|2015|5258.0|
Çorum(Laçin)|2015|1257.0|
Çorum(Mecitözü)|2015|4539.0|
Çorum(Merkez)|2015|250464.0|
Çorum(Oğuzlar)|2015|3116.0|
Çorum(Ortaköy)|2015|3099.0|
Çorum(Osmancık)|2015|28426.0|
Çorum(Sungurlu)|2015|31568.0|
Çorum(Uğurludağ)|2015|3857.0|
Denizli(Acıpayam)|2015|55406.0|
Denizli(Babadağ)|2015|6611.0|
Denizli(Baklan)|2015|5816.0|
Denizli(Bekilli)|2015|7164.0|
Denizli(Beyağaç)|2015|6713.0|
Denizli(Bozkurt)|2015|12597.0|
Denizli(Buldan)|2015|27359.0|
Denizli(Çal)|2015|19699.0|
Denizli(Çameli)|2015|18442.0|
Denizli(Çardak)|2015|8906.0|
Denizli(Çivril)|2015|60716.0|
Denizli(Güney)|2015|10399.0|
Denizli(Honaz)|2015|31779.0|
Denizli(Kale)|2015|20667.0|
Denizli(Merkezefendi)|2015|280341.0|
Denizli(Pamukkale)|2015|331000.0|
Denizli(Sarayköy)|2015|29964.0|
Denizli(Serinhisar)|2015|14649.0|
Denizli(Tavas)|2015|45214.0|
Diyarbakır(Bağlar)|2015|375312.0|
Diyarbakır(Bismil)|2015|113725.0|
Diyarbakır(Çermik)|2015|50356.0|
Diyarbakır(Çınar)|2015|70519.0|
Diyarbakır(Çüngüş)|2015|12393.0|
Diyarbakır(Dicle)|2015|39025.0|
Diyarbakır(Eğil)|2015|22769.0|
Diyarbakır(Ergani)|2015|125290.0|
Diyarbakır(Hani)|2015|32600.0|
Diyarbakır(Hazro)|2015|16917.0|
Diyarbakır(Kayapınar)|2015|308994.0|
Diyarbakır(Kocaköy)|2015|16498.0|
Diyarbakır(Kulp)|2015|35061.0|
Diyarbakır(Lice)|2015|25354.0|
Diyarbakır(Silvan)|2015|84841.0|
Diyarbakır(Sur)|2015|117698.0|
Diyarbakır(Yenişehir)|2015|206844.0|
Düzce(Akçakoca)|2015|24124.0|
Düzce(Çilimli)|2015|8575.0|
Düzce(Cumayeri)|2015|8954.0|
Düzce(Gölyaka)|2015|9433.0|
Düzce(Gümüşova)|2015|6761.0|
Düzce(Kaynaşlı)|2015|9711.0|
Düzce(Merkez)|2015|153504.0|
Düzce(Yığılca)|2015|3220.0|
Edirne(Enez)|2015|3911.0|
Edirne(Havsa)|2015|8642.0|
Edirne(İpsala)|2015|8247.0|
Edirne(Keşan)|2015|61938.0|
Edirne(Lalapaşa)|2015|1632.0|
Edirne(Meriç)|2015|2819.0|
Edirne(Merkez)|2015|158369.0|
Edirne(Süloğlu)|2015|3799.0|
Edirne(Uzunköprü)|2015|40076.0|
Elazığ(Ağın)|2015|1672.0|
Elazığ(Alacakaya)|2015|2710.0|
Elazığ(Arıcak)|2015|3154.0|
Elazığ(Baskil)|2015|5002.0|
Elazığ(Karakoçan)|2015|13353.0|
Elazığ(Keban)|2015|4511.0|
Elazığ(Kovancılar)|2015|23333.0|
Elazığ(Maden)|2015|5081.0|
Elazığ(Merkez)|2015|367156.0|
Elazığ(Palu)|2015|9165.0|
Elazığ(Sivrice)|2015|3709.0|
Erzincan(Çayırlı)|2015|5317.0|
Erzincan(İliç)|2015|3401.0|
Erzincan(Kemah)|2015|2632.0|
Erzincan(Kemaliye)|2015|2089.0|
Erzincan(Merkez)|2015|95596.0|
Erzincan(Otlukbeli)|2015|1533.0|
Erzincan(Refahiye)|2015|4252.0|
Erzincan(Tercan)|2015|5878.0|
Erzincan(Üzümlü)|2015|6478.0|
Erzurum(Aşkale)|2015|23471.0|
Erzurum(Aziziye)|2015|53506.0|
Erzurum(Çat)|2015|17842.0|
Erzurum(Hınıs)|2015|27096.0|
Erzurum(Horasan)|2015|40299.0|
Erzurum(İspir)|2015|15603.0|
Erzurum(Karaçoban)|2015|23985.0|
Erzurum(Karayazı)|2015|29137.0|
Erzurum(Köprüköy)|2015|16520.0|
Erzurum(Narman)|2015|14234.0|
Erzurum(Oltu)|2015|31087.0|
Erzurum(Olur)|2015|6708.0|
Erzurum(Palandöken)|2015|167892.0|
Erzurum(Pasinler)|2015|30113.0|
Erzurum(Pazaryolu)|2015|4148.0|
Erzurum(Şenkaya)|2015|18895.0|
Erzurum(Tekman)|2015|26792.0|
Erzurum(Tortum)|2015|16007.0|
Erzurum(Uzundere)|2015|8058.0|
Erzurum(Yakutiye)|2015|190928.0|
Eskişehir(Alpu)|2015|11526.0|
Eskişehir(Beylikova)|2015|6091.0|
Eskişehir(Çifteler)|2015|15232.0|
Eskişehir(Günyüzü)|2015|5970.0|
Eskişehir(Han)|2015|1959.0|
Eskişehir(İnönü)|2015|6822.0|
Eskişehir(Mahmudiye)|2015|7987.0|
Eskişehir(Mihalgazi)|2015|4507.0|
Eskişehir(Mihalıççık)|2015|8850.0|
Eskişehir(Odunpazarı)|2015|383523.0|
Eskişehir(Sarıcakaya)|2015|5678.0|
Eskişehir(Seyitgazi)|2015|13753.0|
Eskişehir(Sivrihisar)|2015|21265.0|
Eskişehir(Tepebaşı)|2015|333553.0|
Gaziantep(Araban)|2015|31837.0|
Gaziantep(İslahiye)|2015|65799.0|
Gaziantep(Karkamış)|2015|9925.0|
Gaziantep(Nizip)|2015|137878.0|
Gaziantep(Nurdağı)|2015|37977.0|
Gaziantep(Oğuzeli)|2015|29661.0|
Gaziantep(Şahinbey)|2015|870493.0|
Gaziantep(Şehitkamil)|2015|726831.0|
Gaziantep(Yavuzeli)|2015|21435.0|
Giresun(Alucra)|2015|4667.0|
Giresun(Bulancak)|2015|43635.0|
Giresun(Çamoluk)|2015|2148.0|
Giresun(Çanakçı)|2015|1721.0|
Giresun(Dereli)|2015|7039.0|
Giresun(Doğankent)|2015|3234.0|
Giresun(Espiye)|2015|22300.0|
Giresun(Eynesil)|2015|7305.0|
Giresun(Görele)|2015|18655.0|
Giresun(Güce)|2015|3819.0|
Giresun(Keşap)|2015|10695.0|
Giresun(Merkez)|2015|107075.0|
Giresun(Piraziz)|2015|7462.0|
Giresun(Şebinkarahisar)|2015|11688.0|
Giresun(Tirebolu)|2015|16843.0|
Giresun(Yağlıdere)|2015|7268.0|
Gümüşhane(Kelkit)|2015|25387.0|
Gümüşhane(Köse)|2015|5434.0|
Gümüşhane(Kürtün)|2015|5553.0|
Gümüşhane(Merkez)|2015|41604.0|
Gümüşhane(Şiran)|2015|15770.0|
Gümüşhane(Torul)|2015|5760.0|
Hakkari(Çukurca)|2015|9478.0|
Hakkari(Merkez)|2015|57961.0|
Hakkari(Şemdinli)|2015|14854.0|
Hakkari(Yüksekova)|2015|70497.0|
Hatay(Altınözü)|2015|60743.0|
Hatay(Antakya)|2015|360652.0|
Hatay(Arsuz)|2015|82498.0|
Hatay(Belen)|2015|30842.0|
Hatay(Defne)|2015|140097.0|
Hatay(Dörtyol)|2015|118761.0|
Hatay(Erzin)|2015|41290.0|
Hatay(Hassa)|2015|54130.0|
Hatay(İskenderun)|2015|246207.0|
Hatay(Kırıkhan)|2015|108918.0|
Hatay(Kumlu)|2015|13060.0|
Hatay(Payas)|2015|40434.0|
Hatay(Reyhanlı)|2015|90758.0|
Hatay(Samandağ)|2015|117770.0|
Hatay(Yayladağı)|2015|27347.0|
Iğdır(Aralık)|2015|6432.0|
Iğdır(Karakoyunlu)|2015|2630.0|
Iğdır(Merkez)|2015|88476.0|
Iğdır(Tuzluca)|2015|9782.0|
Isparta(Aksu)|2015|2175.0|
Isparta(Atabey)|2015|4143.0|
Isparta(Eğirdir)|2015|17578.0|
Isparta(Gelendost)|2015|5297.0|
Isparta(Gönen)|2015|3428.0|
Isparta(Keçiborlu)|2015|6986.0|
Isparta(Merkez)|2015|214096.0|
Isparta(Şarkikaraağaç)|2015|9566.0|
Isparta(Senirkent)|2015|5633.0|
Isparta(Sütçüler)|2015|2572.0|
Isparta(Uluborlu)|2015|6026.0|
Isparta(Yalvaç)|2015|20880.0|
Isparta(Yenişarbademli)|2015|1875.0|
İstanbul(Adalar)|2015|15623.0|
İstanbul(Arnavutköy)|2015|236222.0|
İstanbul(Ataşehir)|2015|419368.0|
İstanbul(Avcılar)|2015|425228.0|
İstanbul(Bağcılar)|2015|757162.0|
İstanbul(Bahçelievler)|2015|602040.0|
İstanbul(Bakırköy)|2015|223248.0|
İstanbul(Başakşehir)|2015|353311.0|
İstanbul(Bayrampaşa)|2015|272374.0|
İstanbul(Beşiktaş)|2015|190033.0|
İstanbul(Beykoz)|2015|249727.0|
İstanbul(Beylikdüzü)|2015|279999.0|
İstanbul(Beyoğlu)|2015|242250.0|
İstanbul(Büyükçekmece)|2015|231064.0|
İstanbul(Çatalca)|2015|67329.0|
İstanbul(Çekmeköy)|2015|231818.0|
İstanbul(Esenler)|2015|459983.0|
İstanbul(Esenyurt)|2015|742810.0|
İstanbul(Eyüp)|2015|375409.0|
İstanbul(Fatih)|2015|419345.0|
İstanbul(Gaziosmanpaşa)|2015|501546.0|
İstanbul(Güngören)|2015|302066.0|
İstanbul(Kadıköy)|2015|465954.0|
İstanbul(Kağıthane)|2015|437942.0|
İstanbul(Kartal)|2015|457552.0|
İstanbul(Küçükçekmece)|2015|761064.0|
İstanbul(Maltepe)|2015|487337.0|
İstanbul(Pendik)|2015|681736.0|
İstanbul(Sancaktepe)|2015|354882.0|
İstanbul(Sarıyer)|2015|344159.0|
İstanbul(Şile)|2015|33477.0|
İstanbul(Silivri)|2015|165084.0|
İstanbul(Şişli)|2015|274017.0|
İstanbul(Sultanbeyli)|2015|321730.0|
İstanbul(Sultangazi)|2015|521524.0|
İstanbul(Tuzla)|2015|234372.0|
İstanbul(Ümraniye)|2015|688347.0|
İstanbul(Üsküdar)|2015|540617.0|
İstanbul(Zeytinburnu)|2015|289685.0|
İzmir(Aliağa)|2015|87376.0|
İzmir(Balçova)|2015|78121.0|
İzmir(Bayındır)|2015|39925.0|
İzmir(Bayraklı)|2015|312263.0|
İzmir(Bergama)|2015|101917.0|
İzmir(Beydağ)|2015|12276.0|
İzmir(Bornova)|2015|435162.0|
İzmir(Buca)|2015|470768.0|
İzmir(Çeşme)|2015|39243.0|
İzmir(Çiğli)|2015|182349.0|
İzmir(Dikili)|2015|40537.0|
İzmir(Foça)|2015|28647.0|
İzmir(Gaziemir)|2015|132365.0|
İzmir(Güzelbahçe)|2015|29774.0|
İzmir(Karabağlar)|2015|477238.0|
İzmir(Karaburun)|2015|9403.0|
İzmir(Karşıyaka)|2015|333250.0|
İzmir(Kemalpaşa)|2015|101693.0|
İzmir(Kınık)|2015|28052.0|
İzmir(Kiraz)|2015|43615.0|
İzmir(Konak)|2015|375490.0|
İzmir(Menderes)|2015|83331.0|
İzmir(Menemen)|2015|156974.0|
İzmir(Narlıdere)|2015|64712.0|
